id,gloss,program,example,comment
c001,return the third element,(lambda (singleton (third $0))),2,"list is only three elements long in three examples, so easy to confuse with c061"
c002,"return the third element if possible, else the empty list",(lambda (if (> 3 (length $0)) empty (singleton (third $0)))),3,"5 examples have a lot of duplicates, which makes it harder to see the pattern"
c003,return the seventh element,(lambda (singleton (nth 7 $0))),1,NA
c004,"return the seventh element if possible, else the empty list",(lambda (if (> 7 (length $0)) empty (singleton (nth 7 $0)))),2,reorder examples
c005,index in head,(lambda (singleton (nth (first $0) (drop 1 $0)))),3,"degenerate examples, 7 of 11 trials return are confusable with c061"
c006,first two elements,(lambda (take 2 $0)),1,NA
c007,"first 2 elements, or as many as possible if list length < 2",(lambda (take 2 $0)),1,NA
c008,first 6 elements,(lambda (take 6 $0)),1,NA
c009,"first 6 elements, or as many as possible if list length < 6",(lambda (take 6 $0)),2,reorder examples
c010,take the head in the tail,(lambda (take (first $0) (drop 1 $0))),2,"3 examples are equal to taking the entire tail, so easy to confuse with c049"
c011,elements 2 through 4,(lambda (slice 2 4 $0)),2,reorder examples
c012,"elements 2 through 4, or as many as supported by list length",(lambda (slice 2 4 $0)),2,reorder examples
c013,elements 3 through 7,(lambda (slice 3 7 $0)),2,reorder examples
c014,"elements 3 through 7, or as many as supported by list length",(lambda (slice 3 7 $0)),2,reorder examples (put general condition first)
c015,slice specified by first two elements,(lambda (slice (first $0) (second $0) (drop 2 $0))),3,buggy example uses 0 as an index; one empty slice; reorder examples
c016,replace second element with 8,(lambda (replace 2 8 $0)),1,NA
c017,replace second element with 8 if there's a second element,(lambda (replace 2 8 $0)),1,NA
c018,replace sixth element with 3,(lambda (replace 6 3 $0)),2,reorder examples
c019,replace sixth element with 3 if there's a sixth element,(lambda (replace 6 3 $0)),2,reorder examples
c020,replace the first element with the last element,(lambda (replace 1 (last $0) $0)),1,NA
c021,insert 8 as new second element,(lambda (insert 8 2 $0)),1,NA
c022,insert 5 as new second element,(lambda (insert 5 2 $0)),1,NA
c023,"insert new second element; 8 if list length > 5, else 5.",(lambda (insert (if (> 5 (length $0)) 8 5) 2 $0)),1,NA
c024,"insert new second element; 8 if head > 5, else 5.",(lambda (insert (if (> 5 (first $0)) 8 5) 2 $0)),1,NA
c025,remove second element,(lambda (cut_idx 2 $0)),1,NA
c026,remove third element,(lambda (cut_idx 3 $0)),1,NA
c027,"if the first and third elements are identical, remove the third element, else remove the second element",(lambda (cut_idx (if (== (first $0) (third $0)) 3 2) $0)),3,3 examples where second and third elements are identical
c028,"if the head > third element, remove third element, else remove the second element",(lambda (cut_idx (if (> (first $0) (third $0)) 3 2) $0)),1,NA
c029,remove first two elements,(lambda (drop 2 $0)),1,NA
c030,remove first four elements,(lambda (drop 4 $0)),1,NA
c031,"drop initial N elements; if the first and second elements are equal and the list length > 5, N = 2, else N = 4",(lambda (drop (if (and (== (second $0) (first $0)) (> (length $0) 5)) 2 4) $0)),2,reorder examples; too many cases to see sufficient examples
c032,"drop initial N elements; if the second element is 0 and the first element > 5, N = 2, else N = 4.",(lambda (drop (if (and (== (second $0) 0) (> (first $0) 5)) 2 4) $0)),2,reorder examples; too many cases to see sufficient examples
c033,swap first and fourth elements,(lambda (swap 1 4 $0)),2,reorder examples
c034,swap second and third elements,(lambda (swap 2 3 $0)),1,NA
c035,"if the second and fourth elements are equal or the list length > 7, swap first and fourth elements, else swap second and third.",(lambda (if (or (== (second $0) (nth 4 $0)) (> (length $0) 7)) (swap 1 4 $0) (swap 2 3 $0))),1,too many cases to see sufficient examples
c036,"if the second element is seven or the fourth element > 7, swap first and fourth elements, else swap second and third.",(lambda (if (or (== (second $0) 7) (> (nth 4 $0) 7)) (swap 1 4 $0) (swap 2 3 $0))),3,"examples mostly swap 2 and 3, just 2 examples of swapping 1 and 4"
c037,append 3,(lambda (append $0 3)),1,NA
c038,append 9,(lambda (append $0 9)),1,NA
c039,"if second and third elements are equal, append 9, else do nothing. Then, if the length is greater than 5, append 3, else do nothing.",(lambda ((lambda (if (> (length $0) 5) (append $0 3) $0)) ((lambda (if (== (second $0) (third $0)) (append $0 9) $0)) $0))),3,no cases where we just append 9; too many cases to see sufficient examples
